Salary;Role;Company
44800;представитель по внутренним продажам;Вкусно и точка
50400;менеджер по работе со стратегическими клиентами;Republic Services
44000;Аналитик по сетевой безопасности;Republic Services
48800;Менеджер по инвентаризации;Continental AG
44800;инженер по автоматизированному тестированию;Tesla
52000;Дизайнер пользовательского интерфейса;Continental Resources
45600;торговый представитель;Henkel AG & Co. KGaA
50400;консультант по устойчивому развитию;WESCO International
47200;инженер по электронному оборудованию;Unilever
52000;специалист по системной интеграции;NRG Energy
44800;Бренд-стратег;InterContinental Hotels Group
44000;инженер-электрик;Revlon
48800;медсестра-практикант по оказанию неотложной помощи;Ceconomy AG
46400;судебный адвокат;Constellation Brands
48000;инженер по сетевой безопасности;Interpublic Group
45600;психолог-исследователь;Auto-Owners Insurance
51200;координатор художественного образования;ODP
46400;менеджер по привлечению талантов;Titan Company
48800;классный руководитель;страховая биржа Farmers
44000;специалист по контролю за запасами;Publix Super Markets
46400;корпоративный юрист;Otis Worldwide
46400;разработчик баз данных SQL;US Foods Holding
47200;менеджер по закупкам;Croda International
50400;IT-аналитик;Travelers
44000;Практикующая медсестра по оказанию неотложной помощи;Textron
49600;менеджер по работе с ключевыми клиентами;Ulta Beauty
48800;креативный копирайтер;American Electric Power
51200;Менеджер по закупкам;UnitedHealth Group
47200;SEO-специалист;Tencent Holdings
51200; фронт-энд разработчик;Otis Worldwide
48800;Координатор мероприятий;Tullow Oil
49600; руководитель отдела по работе с клиентами;Qualcomm
51200;консультант по продажам B2B;AutoNation
47200;разработчик баз данных;Peter Kiewit Sons
44800;менеджер строительных проектов;General Mills
48000;менеджер по социальным сетям;Western Digital
48000;Instructional Designer;PNC Financial Services Group
48800;контент-стратег;Farmers Insurance Exchange
52000;координатор обучения;CIMIC Group
52000;Координатор по подбору персонала;Alibaba Health Information Technology
52000;менеджер по стратегическим партнерствам;Tenet Healthcare
50400; Java бэкэнд разработчик;Exelon
51200;руководитель группы продаж;SAP SE
50400;детский логопед;IBM (International Business Machines Corporation)
44000;инженер по большим данным;Fidelity Investments
50400;инженер по базам данных NoSQL;Intercontinental Exchange
44800;планировщик спроса;Power Grid Corporation of India
48000;свадебный дизайнер;Consolidated Edison
48000;организатор мероприятий;Northrop Grumman
48000;техник по поддержке настольных компьютеров;Corteva
44000;портфельный менеджер;Icahn Enterprises
49600;гериатрическая медсестра-практикант;Colgate-Palmolive
46400;JavaScript разработчик;SF Express
44000;менеджер по работе с клиентами;Huntsman
47200;координатор закупок;Dover
52000;инженер по большим данным;Lendlease Group
45600;Специалист по планированию перевозок;Asbury Automotive Group
52000;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation
45600;логопед для взрослых;Britannia Industries
44800;Координатор льгот;Muthoot Finance
49600;дизайнер интерьера;Dana
44800;инвестиционный аналитик;Aflac
44800;менеджер кампаний по электронной почте;Quanta Services
48800;специалист по устойчивому развитию;Ashtead Group
48000; Разработчик серверных приложений;Glenmark Pharmaceuticals
46400;системный администратор;Eastman Chemical
48000;инженер-проектировщик;Carnival Corporation & plc
50400;координатор маркетинговых исследований;Adani Green Energy
44000;агент колл-центра;Textron
44800;Менеджер по работе с клиентами;Fiat Chrysler Automobiles N.V.
48800;Дизайнер по охране окружающей среды;Газировка
48000;менеджер по работе с клиентами; BYD Company
49600;Дизайнер пользовательского интерфейса; Delta Air Lines
50400;IT бизнес-аналитик;Kinder Morgan
48800;дизайнер интерфейсов;Avnet
44800;аналитик социальных сетей;Workspace Group
48000;Дизайнер пользовательского интерфейса;CDW
50400;JavaScript разработчик;Tencent Holdings
52000;юрист по вопросам опеки над детьми;Halma
47200;инженер беспроводных сетей;Lendlease Group
46400; специалист по анализу данных;AES
48800;дизайнер взаимодействия;LKQ
49600;специалист по клинической медсестре;Bajaj Auto
47200;юрист по опеке над детьми;Salesforce
47200;юридический секретарь;Siemens India
52000;Бренд-менеджер по продукции;NextEra Energy
48000;аналитик по контролю качества;Computacenter
52000; Специалист по анализу данных;ВК
47200;Sales Account Executive;Hershey
52000;инженер по системам электропитания;TAG Immobilien AG
50400;Специалист по сетевой безопасности;Блок
44800; Менеджер по работе с клиентами;Linde plc
47200;дизайнер коммерческого интерьера;Nucor
44800;консультант по работе с зависимыми людьми;Gree Electric Appliances
47200;архитектор облачных вычислений;DCP Midstream
48000;бизнес-аналитик данных;Balfour Beatty
44800;координатор цепочки поставок;Ameriprise Financial
47200;разработчик мобильных приложений;Банковская группа
48000;директор по уходу за больными;MetLife
52000;ветеринар мелких животных;American Tower
49600;инженер-химик;Expedia Group
49600;аналитик по исследованию рынка;Archer Daniels Midland
45600;менеджер по инфраструктуре;Steel Dynamics
44800;QA Tester;Nestle India
44000;Аналитик по логистике;Playtech
48800;менеджер ИТ-проектов;Uber Technologies
51200;менеджер по контролю качества;Графическая упаковка
52000;Менеджер по работе с клиентами;Jubilant Foodworks
50400; Веб-разработчик; AGCO
48800;разработчик баз данных;Diageo
50400;Юридический секретарь;Continental Resources
44000;специалист по продажам медицинских услуг;Eversource Energy
44800;офисный координатор;Аэрофлот
44000;дизайнер взаимодействия;Avantor
45600;дизайнер взаимодействия;Здоровье
44800;представитель по внутренним продажам;BHEL
47200;испытатель автоматики;Marathon Oil
48800;Дизайнер пользовательского интерфейса;Geely Automobile Holdings
49600;менеджер по работе с клиентами;Williams
48800;архитектор проектов;AES
45600;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries
47200;тестировщик производительности;Burberry Group
